item_name,item_description,id
dept of child support services initial basic code,dept of child support services initial basic code,783
fuel for equip 02s353,fuel for equip 02s353,784
24 month warranty extension for dell servers,service tags #h3627d1#4pk57d1#3pk57d1#j0dhxf1,785
toner,clin 98 tonermagenta q6473a,786
beveragebase orange,beveragebase orange,787
toner cartridgemagenta,toner cartridgemagenta,788
memory,memory,789
taa,taa,790
gasoline,gasoline for state vehicles,791
provide machine shop services for swp facilities,contractor willwhen requested and as directed by dwrprovide machineshop services for the benefit of all state water projectfacilitiesdwr has an urgent need to contract for machiningservices to provide for timely maintenance of dwr machines used,792
4 23 monitors,4 23 monitors,793
sqlsvrentcore alng sa mvl 2lic corelic,sqlsvrentcore alng sa mvl 2lic corelic,794
am04task order no 20122 estimating leaching,task order no 20122estimating leaching requirements in drainageresuse systems from soil salinity surveys the project budget of 65 450does not increase the cost of master dwr contract #4600004536,795
investigative services,investigative services,796
inside delivery charge,delivery charge,797
harness body full,harness body full,798
fuel for equip 10r162,fuel for equip 10r162,799
exhaust supply fan16 in,exhaust supply fan16 in,800
tire mounting,tire mounting,801
wheat bread,wheat bread,802
shneider unitary bacnet controller,shneider unitary bacnet controller,803
oral temperature probe,oral temperature probe,804
onoff road tires,onoff road tires lt 265 70r17e,805
bran stix,bran stixbeansfruit cups,806
toilet paper ,1 plywhite1000 sheets roll96 rolls case4 x 405individually wrapped,807
medical supplies,needles,808
fire engine rental,fire engine rental,809
order #13so1031senext day gourmet,batching miscellaneous food contract vendor invoices for payment,810
2 3 hole punch,2 3 hole punch,811
toner cartridge,hp ce285a toner cartridge for dlse san francisco ecu ,812
cordless drill,cordless drill,813
wrench pipe alum 36,wrench pipe alum 36,814
fuel for equip 10r072,fuel for equip 10r072,815
dell docking station wac adapter,dell docking station wac adapter,816
am 123 #1 retainer engineering service for hazardous material investigation,engineering service for hazardous material investigation and remediation design,817
chair,chairs,818
medical supplies,gauze nebulizer,819
shooting range facility,shooting range facility,820
paint brushes,paint brushes,821
allspiceground,allspiceground,822
madison chair,maidson chair with a headrest,823
pliertongue and groove plier10,pliertongue and groove plier10,824
glucerna 128 oz,24 8oz cs,825
valve,valve,826
yokogawa wt3000 precision power analyzer,yokogawa wt3000 precision power analyzer,827
12 volt battery,12 volt battery,828
antifatigue mats,antifatigue mats,829
cake mix,cake mix,830
sandwashed,sandwashed,831
low income home energy assistance program,contractor agrees to provide lowincome home energy assistance programservicesconsisting of weatherization and or home energy assistanceprogram and energy crisis intervention program assistanceto eligible lowincome households and individuals residing in contractors assignedservice areapursuant to title 42 of the united states code sec 8621et seqlowincome home energy assistance act of 1981as amendedandpursuant to california government code sec 163675 et seqas amended,832
wire weld 12mm flux core cn 23 12fd,wire weld 12mm flux core cn 23 12fd,833
flat washers,flat washers 1420,834
reflective tape,reflective tape white 100 x 3,835
translation of documents into other languages,translation and interpreting services as needed for research project,836
replace exterior signs,the contractor shall replace exterior signs at the arleta dmv,837
maintenance,copier maintenance for 1 year on sharp,838
R1,R1,839
ink and toner cartridges,8560a,840
maintenance,maintenance for 5 sharp copiers,841
service contract,perkin elmer to service proprietary equipment used at dtsc environmentchemistry laboratories in berkeley and los angeles,842
upgrade prophy anglessoftgray,upgrade prophy anglessoftgray,843
recycling services,recycling services,844
training,training,845
conference room meeting facilities,conference room meeting facilities,846
med duty plastic forks,plastic forks,847
county mhp contract,county mental health specialty services,848
web heatset ink pms 660 bluet6printing on 80# utopia ii recycled matte bk,web heatset ink pms 660 bluet6printing on 80# utopia ii recycled matte bkjob#127520for the m1000 web pressattetnion chung fongdeliver by 7 9 2012,849
online subscription to prescription database,online subscription to prescription database includes choice of 25 clinical dental reference books,850
liquid nutritional supplements,liquid nutritional supplementsvanilla boost,851
motor pump,us motor pump 125hp 3ph 460v 1800rpm 141amp 405vp vertical frame rvs type,852
beanpeasplitdry,beanpeasplitdry,853
hashcorned beef 6 10 can per case,hashcorned beef 6 10 can per case,854
portable toilets,portable toilets to support sanitation needs of 16 complex,855
limited slip differential,limited slip differential,856
fish frozen breadedand fish pollock raw filet,fish,857
corner bead square,corner bead square,858
foodstuff,foodstuff,859
appresponse xpert 5000 appliance with right to use license,appresponse xpert 5000 appliance with right to use license,860
monitor,hp compaq la2306x 23in monitor,861
copier maintenance,copier maintenance on the machine listed below sharpmodel number arm455serial number 86000823 effective 3 30 13 through 6 30 14 this maintenance agreement includes all corrective repairs preventative maintenancesupplies and toners for the copier listed above,862
binder holder,binder holder,863
broom handle,broom handlewood 60 natural,864
bras,x,865
aquaveo groundwater monitoringgmssoftware,software,866
hp bl460c gen8 10gb flb cto blade,computer blade,867
682900 avalon ergonomic chair,a682900 avalon ergonomic chair,868
postal delivery svcs,small parcel delivery pickup svcs,869
physician specialty services in emergency room medicine,contractor shall provide physician specialty services in emergency roommedicine for referred patients of dshatascadero on an asneeded basisat twin cities community hospital located at 1100 las tablas road intempletonca 93465,870
folders,folders,871
networked 44 ppm bw 45 ppm color digital multifunction copier printer,networked 44 ppm bw 45 ppm color digital multifunction copier printer,872
patches for sleeves,patches,873
e waste fee,e waste,874
hired equipment,hired lighting systems multiquip light tower for king firecaenf 023461,875
box lunch,box lunch,876
toyota prius chybridmidsizehatchback5 door4 passenger,toyota prius chybridmidsizehatchback5 door4 passengerinaccordance with specification 23102626 dated 9 24 13 colorsilver 1 tire recycle fees10 175trim package upgrade service agreement for 1,877
fuel for equip 04s254,fuel for equip 04s254,878
crack sealer,crack sealer,879
paint brushesbucketsrollers and epoxy,paint brushesbucketsrollers and epoxy,880
jalapeno,jalapeno,881
ground beef patty salisbury chicken hotdog beef chicken hotlinks breakfast saus,ground beef patty salisbury chicken hot dog beef chicken hotlinks sausage link breakfast,882
laboratory supplies,laboratory supplies,883
mis data query cust support pack,mis data query cust support packterm10 1 129 30 13,884
clip binder 3 8 cap sm,clip binder 3 8 cap sm,885
local government contract labor,engines for going fire clover,886
installation,installation,887
fuel,gasoline,888
to confirm conflicts on the highspeed rail alignment,review of design for conformance of the city of fresno standardsreviewconflicts with the city of fresno owned utilities on the high speed rail alignment,889
softwaregenuine windows 7 professional 64bitrequires a minimum of 2g ,xl689av#aba,890
lawn and garden services,lawn and garden services,891
instant pudding,12 228 lb bags per cs,892
swift tak48221n55fdfohl55 hbfuller glue,swift tak48221n55fdfohl55 hbfuller glue,893
boxesbubble wrap,boxesbubble wrap,894
basic camera cableoverheaddv1,watchguard cabbascoh181,895
mobile sleeper trailers,mobile trailer for going fire,896
center for community solutions,contractor to conduct activities related to rape prevention and education,897
replacement projector lamp,replacement projector lamp,898
radiofrequency antenna,radiofrequency antenna,899
propane,propane,900
binder clip,binder clips,901
mcsp fire station thermal image camera,mcsp fire station thermal image camera,902
12 months maintenance,12 months maintenance,903
carbonless paper,carbonless paper,904
meeting room rental,meeting room rental for california state board of pharmacys compentency meetings,905
4year nbd 3 day exchange warranty,warranty,906
arcgis for desktop advanced concurrent use secondary maintenance,maintenance,907
peas carrots,peas carrots 55# case,908
tire goodyear eagle rsa p235 55r17 clin 901a,tire goodyear eagle rsa p235 55r17 clin 901a,909
black traffic paint,black traffic paint,910
multi bdo agreement cumulative impacts,multi bdo agreement cumulative impacts,911
outpatient sex offender treatmentsite 7 ,this agreement is to provide treatment for sex offenders the californiadepartment of corrections and rehabilitationcdcr division of adultparole operationsdapois implementing a containment model program set forth by penal code 3008,912
mouthrinse,40zalcohol free96 cs,913
ambulance services,contractor agrees to provide emergency ambulance servicesasneeded forthe msh patient individuals,914
glue stick,glue stick,915
chair,sled base chair,916
fedex,fed ex acct,917
co 003,co 003,918
truck rental,truck rental,919
velobind 1 strips,velobind 1 strips,920
anglemld stl 11 2x11 2x1 4x20 long,anglemld stl 11 2x11 2x1 4x20 long,921
interagency agreement with a uc for consulting services,the contractor will continue to collaborate with wested and napa county office of education to complete development of the draft single birth to kindergarten entry desired results developmental profile assessment instrumentincluding gathering input thro,922
state controllers officeexpedite,contractor will process claim schedules on an expedite basis and orpay date specific basis,923
emergency hvac repairs for inglewood dmv,contractor to provide emergency hvac repair at the dmv field office in inglwood,924
local assistance grant,grant to local law enforcement agency,925
xtender pole syringe,syringe,926
scif administration fees,scif administration fees,927
samsung clp775nd work group color laser printer,samsung clp775nd work group color laser printer,928
oring,oring,929
trackit software,trackit software,930
screw spax8 x1,screw spax 8 x1,931
duraguard laminates,duraguard laminates 05 mil clear375 per roll,932
potatoesdicedflakesliced,potatoesdicedflakesliced,933
pb dp50 magenta toner cartridge,pb dp50 magenta toner cartridge,934
chol cholestrol 480 tests,chol cholestrol 480 tests,935
closure plate,2 x 2 tube2 x 8,936
blatant media absorb learning management software,blatant media absorb learning management software,937
ambulance rental,ambulance rental,938
paint supplies,paint supplies,939
forkliftpallet jack maintenance,forkliftpallet jack maintenanceinspection and repair services at cmcciwcrclacvntecfsycrccand scc fire warehouse,940
R901,R901,941
scouring pad,3m scouring pad green 9in l 6in w pk 12,942
1490117,contractor provides substance use disorder services,943
providine iodine prep pad,providine iodine prep pad,944
general office goods,black g2 pens,945
clear and remove debris,efa clear and remove dirtdebri and rocks from concrete culvert,946
entertainment at 2015 oc fair,present pacific symphony on stage at the pacificamphitheatre on thursdayaugust 16for the 2015 oc fair,947
order #14mk1203seadjusted,batching invoices,948
math prealegebra,texts,949
fuel for equip 14r347,fuel for equip 14r347,950
samsung magenta toner for clp770nd,toner,951
work shoes12,brown,952
amendment no 4,amendment no 4the amount of the agreement is increased by160 000 to 2 460 000language change,953
prem clr #2 diesel fuel,diesel fuel for bautista camp a 24 hour state facility,954
misc for equip 10r031,misc for equip 10r031,955
minivan,minivan,956
fuel for equip 14r320,fuel for equip 14r320,957
bed sheets,bed sheets,958
color copier,color copierricoh mpc5501spfbooklet finisher bc print connectivity bridge uniot bu3030 incl laborpartstoner incl in 5 yr maintagreement shipping incl,959
term po kosher,term po kosher,960
lap top,18 lap top copmter,961
135deg finish postvidene62,135deg finish postvidene62,962
avamar ds install for single node,avamar ds install for single node,963
bath tissue,1 plywhite80rl ct,964
to provide legal services for congressional hearings,the purpose of this agreement is to provide legal services in the areaof preparation for anticipated us house of representative committee onoversight and government reform,965
hvac,hvac replacement installation,966
samsung ml3712nd momochrome laser printer,samsung ml3712nd momochrome laser printer,967
sack lunches,sack lunches for ongoing fire,968
seal shield washable mouse stm042,seal shield washable mouse stm042,969
cdcr laptop refreshhp prbook 6570b,new laptop wdl fees and acc,970
water tender,water tender used on going fire,971
punch 2 hole black,punch 2 hole black,972
muffins,muffins,973
maintenance agreement,maintenance agreement for sharp copiers,974
lentil beans,lentil beans,975
low profile wall mtflat,blt 66584,976
turkey,turkey,977
adobe livecycle support renewal,software support,978
memory module,4 gb dell certified replacement memory module for selec dell,979
pens,pens,980
various fruit and pro,various fruit and produce,981
wood screws flat 14 x 4 pk 100 #1ky55,wood screws flat 14 x 4 pk 100 #1ky55,982
envelopes,envelopes#10 digital,983
grinding wheel,1 2404hosusg,984
misc for equip 06s127,misc for equip 06s127,985
half dome mirror,half dome mirror 18 in absplastic 2gvx8,986
amalgam seperator filter,amalgam seperator filter,987
hp 648amagenta,hp 648amagenta,988
office depot brand preink refill inkredpack of 2,office depot brand preink refill inkredpack of 2,989
frequency counter,frequency counters,990
pasta,pasta,991
hp unix server hardware software support renewal,hp unix server hardware software support renewal,992
easy peel avery labels 5 pks # 5162,easy peel avery labels 5 pks # 5162,993
marking flagblankpvc100pk lime,marking flagblankpvc100pk blue,994
comm rep for unit 7004627 rm ii,comm rep for 7004627 rm ii,995
oxford clearfront report coversdark bluepack of 10,oxford clearfront report coversdark bluepack of 10,996
additional 2x500sheet paper trays4 trays total ,paper trays,997
various cleaning suppliessolid power plushd rinse dryoasis 146 ,various cleaning suppliessolid power plushd rinse dryoasis 146 ,998
unleaded gasolin,unleaded gasoline,999
yellow bag,personal care,1000
replacement of air handler,decommission of the existing air handler and remove from the roof thecontractor will install a new air handler package and connect toexisting facilities connect all duct workpipingcontrols andelectrical to the new unit then commission the unit,1001
dental hygienist services,temporary relief registered dental hygienist services for pelican baystate prison,1002
examination room rental,examination room rental for dhcc,1003
independent analysis of the bdcp and impacts to the delta counties,amendment 1 is to extend the termination date of the contract by one1 yearfrom december 312013 through december 312014 the time onlyamendment is necessary to complete a thorough review of the bay deltaconservation plan documents prior to being,1004
green beans,cut50# cs,1005
merkle kerit counter clockwise cell door motor ers63,merkle kerit counter clockwise cell door motor ers63,1006
memory upgradesmemory4 gbso dimm 204pinddr31333 mhz pc310600,memory upgradesmemory4 gbso dimm 204pinddr31333 mhz pc310600,1007
applecare protection plan,applecare protection plan,1008
paper,3600 rmwilliamsburb 11 x 17 paper324 cs12 18 digital paper,1009
iv catherter,iv catherter,1010
mcafee complete data protection advc lic,mcafee complete data protection advc lic,1011
ccc,construction services,1012
dry baking mixes,pancakecorn muffin and cake mixes,1013
velcro strips 3 4 x 15 #s5750,velcro strips 3 4 x 15 #s5750,1014
laptop,notebook mobile workstation,1015
relm bk soulder strap,strap to use with radio holster,1016
hanging file holder,hanging file holder,1017
reagents,chemical reagents,1018
cerealfarina,1st quarter food orders 2014 2015,1019
amentment #17,increase contract total 7 14000 to 2 971 24700 and the workcompletion date remains the same contract terms end date shall remain unchanged,1020
stationlens cleaning,stationlens cleaning,1021
amtek ml5512nd 5 year nbd onsite warranty,amtek ml5512nd 5 year nbd onsite warranty,1022
office supply lot,card stock paper staple remover postit flags address labels,1023
annual subscription to capitol morning report,annual subscription to capitol morning report,1024
computer,computer,1025
fuel for equip 14r289,fuel for equip 14r289,1026
office supplies,labels,1027
protective clothingoperational supplies and services,protective clothingoperational supplies and services for chpwilliams area office,1028
bulk fuel,bulk fuel,1029
clasp envelopes,clasp envelopes,1030
hp compaq 8300 elite convertible minitower desktop,desktop computers,1031
misc for equip 04s256,misc for equip 04s256,1032
toner,hp 05a toner,1033
printers warranty,ml5012ndcas samsung ml5012nd printer atkss5012ca4 4 yr warranty,1034
catalyst 2960 48 10 100 10004 t sfp lan base image jul 114 to june 3015,catalyst 2960 48 10 100 10004 t sfp lan base image jul 114 to june 3015,1035
warranty,warrantyfor gps reciever extended warranty12month,1036
bk radio transmitter receiverhand held radios,bk radio transmitter receiverhand held radios vhf high band radioconventional analyog narrow band p25 radio vhf 2024ch 6 watt,1037
cpr first aid training for trainers,cpr first aid training,1038
electrodes square pads,electrodes square pads,1039
electrical bussway material,electrical bussway material power supply,1040
washer,washer,1041
shake well before using label 2108,shake well before using label 2108,1042
detergent,detergent,1043
servers,items to complete the server,1044
it,software maintnance,1045
hp compaq elite 8300 elite convertible minitower desktop, 10hp compaq elite 8300 elite convertible minitower desktop and components,1046
cultural resources service,cultural resources,1047
nomexfire fighter safety clothing,150pr nomex nfpa trousersyellow 130 ea nomex nfpa shirtsyellow,1048
51332906ingersollrandair impact wrench1 4 inch drive,51332906ingersollrandair impact wrench1 4 inch drive,1049
auto parts,auto parts,1050
law bookguidebook to illinois taxes,law book,1051
ragmicrofiber,ragmicrofiber,1052
criminal restitution compact contract,administration of restitution fines and orders,1053
medical exam gloves,medical exam gloves,1054
wire connectortwister342graypk 5,wire connectortwister342graypk 5,1055
consulting services,consulting services,1056
open top lids,open top lids,1057
post warranty server maintenance contract,post warranty support for hp servers,1058
foam insulation,foam insulation on exterior ducts,1059
coppier maint,coppier maint,1060
helicopter,helicopter used on going fire,1061
labor charged for repair of state dozer,labor charged for repair of state owned fire line dozer,1062
sack lunches,sack lunches for going fire,1063
logitech desktop mk710 wireless standard keyboard mouse,mouse,1064
fuel for equip 10r063,fuel for equip 10r063,1065
2 yr software maintenance renewal for symantec software,symantec backup exec for windows servers central admin server optionv 2012 essential support2 year1 servergovsymantec buying programsgovernmentlevel s 1+ win from 6 13 13 to 6 14 15 symantec backup exec for windows servers li,1066
storage box,box,1067
eyewash station,eyewash station,1068
haspsafety 6,haspsafety 6,1069
clip paper med,clip paper med,1070
aha acls poster set 9 posters 901013,aha acls poster set 9 posters 901013,1071
propane tank,propane tank,1072
887216 4,887216 4,1073
ecostar pm system accessory kit,ecostar pm system accessory kit 9296118 ,1074
unleaded fuel,unleaded fuel for hf station,1075
fuel injection cleaner,otc fuel injection cleaner,1076
braille device,braillesense u2 perkins style keyboard 32 braille cells,1077
frozen juices,frozen juices,1078
icd10cm code set books,icd10cm code set books,1079
panel powered fabric 42h 36w,panel powered fabric,1080
howard miller wall clock,howard miller wall clock 1 name mary perez retirement october 12014 2 name carl m santos retirement september 12014,1081
fortigate60d hwplus 3yr 8x5,fortinetinc fortigate60d hwplu,1082
self adhesive signature stickers,self adhesive signature stickers,1083
transport 10 shelves and 2 desks,vendor is needed to transport 10 shelves and 2 desks also to anchor theshelving to office walls once delivered,1084
accutrend test strips,accutrend test strips,1085
hotels,lodging for personnel assigned to going fire,1086
canned entrees and beans,various canned entrees hashchili con carneetc,1087
dodge ram 1500,fleet vehicle,1088
hp 90w docking station,hp 90w docking station,1089
feeler gauges,feeler gauges for weapon,1090
06a2090,contractor shall provide expert witnessindependent property appraisal services to caltransowned properties for the right of way managementand excess lands,1091
desktop computers,desktop computers,1092
delete belt clip,delete belt clip,1093
beans,beans,1094
order #13mk0821seadjusted,batching miscellaneous food contract vendor invoices for payment,1095
lamps,fluorescent lampst124100k f96t12 cw 1500,1096
office key,office key,1097
various vendor reimbursements,various vendor reimbursements,1098
steelhead exa 760 gold support,maintenance,1099
network camera fixed dome,camera fixed domecisco catalystoutdoor conductorroundsolid or stranded,1100
digital phone system,digital phone system,1101
fiber optic cables,fiber and patch cables,1102
low income home energy assistance program,contractor agrees to provide lowincome home energy assistance programservicesconsisting of weatherization and or home energy assistanceprogram and energy crisis intervention program assistanceto eligible lowincome households and individuals resid,1103
cottage cheese,cottage cheese,1104
chairs,chairs,1105
kp degreaser and floor cleaner,kp degreaser and floor cleaner,1106
pattie salisbury,pattie salisbury,1107
stretcher accessories,1 2 ea head end cover handles 36000 720002 2 ea iv poles 2 stage 45264 905283 2 ea side rail pad set 17285 345704 2 ea defribillator trays 28892 577845 7 ea labor and travel 13500 94500,1108
making a good impression resumesinterviewsappearances on dvd,making a good impression resumesinterviewsappearances on dvd,1109
hp124a magenta,hp124a magenta,1110
office supplies,paper and folders,1111
bulk container,48 x 45 x 19blue,1112
asphalt,delivered per contract,1113
ink cartridge,clin 107 hp 94 ink cartridge,1114
office supplies,2015 calendars,1115
locking blood draw cart,locking blood draw cart,1116
thin client,thin client,1117
gloves,disposable glovesvinyl smmlgxl,1118
onions chopped,onions chopped,1119
one 2015 chevy volt ,2015 chevy volt plugin hybrid electric fueled vehicle,1120
bread2 slice,breadwheat2 slice packages,1121
skid plates,skid plates,1122
ada materials,ada materials,1123
cable matters premium displayport to dvi male to male cable black 10ft,network cable,1124
prime infra 2x lifecycle 100 device lics,c3850 48port ip base to ip svcs electronic rtu lics,1125
ibm software license maintenance,ibm rational and spss modeler software license renewal,1126
order for sj,gloves a c portable sandpaper key blank,1127
tirecooper discoverer st maxxlt265 70r17,tirecooper discoverer st maxxlt265 70r17,1128
sri grease ngli 214 cartridge,sir grease ngli 214 cartridge,1129
dib hp 90w docking station,dib hp 90w docking station,1130
targus usb keyboard,targus usb keyboard,1131
beverage,pepsican,1132
office chairs,office chairs,1133
expert witness,withheld 01some or all of the information on this contract is exempt from disclosurefor information contact department,1134
community services block grant,contractor agrees to continue to provide services and activities toeligible participants residing in contractors assigned service area pursuant to california government code section 12725 et seqand 42united states codeusc9901et seqas a,1135
examination development services,examination development services for the california civil engineer examination,1136
fuel for equip 13r247,fuel for equip 13r247,1137
vocational rehabilitation services,vocational rehabilitation services,1138
mcsp waste water plantrepair clamps,mcsp waste water plantrepair clamps,1139
fuel for equip 05s118,fuel for equip 05s118,1140
tripp lite console,tripp lite console,1141
recruitment services for licensed psychiatrists,this agreement provides recruitment services for civil service licensed psychiatrists,1142
rifle case 33tacticalblack,uncle mikes 52121,1143
hand soap foamy,hand soap foamy,1144
power supply,s28ps1 power supply,1145
school psychology services,contractor agrees to provide department of state hospitals metropolitan with school psychology services,1146
uhf combiner multicouplersingle isolators,uhf combiner multicouplersingle isolators,1147
televisions,televisions,1148
asphaltconcreterockmulch,asphaltconcreterockmulch,1149
software, 6month subscription for unlimited lorton data services for ncoa,1150
kpg4 programming cables for the tk630,kpg4 programming cables for the tk630,1151
0986029 a01,amendment a01 extends term by two years and increases budget,1152
advantage ultra service plan for maintenance,servicemaintenance,1153
federal excise tax,federal excise tax,1154
puddingvarious,puddingvarious,1155
log books,log books,1156
chicagohot and coldpush button assyacuatorsealing washermetering valv,buttonhot and coldpush handle assbacuatorsealing washer metering valveresistant softflo assb,1157
staples chsel pt 25th pk,staples chsel pt 25th pk,1158
sequelch boardcircuit boards,sequelch boardcircuit boards,1159
standard self stick notes,standard self stick notesyellow,1160
electrical items,varied electrical items,1161
metal baskets,metal baskets,1162
rice,rice,1163
container cargo steel 40,container cargo steel 40,1164
legal services,legal services,1165
seal pull tight yellow,seal pull tight yellow,1166
vinyl 3ring binders,plain view fullview,1167
magazine pouch,carry comp ii black,1168
potatopreformedprecooked,potatopreformedprecooked,1169
corn,corncut,1170
docking station,dell eportdock for chargingdigital videoand usb 30 esata port support,1171
nvidia nvs 300graphics cardpcie x 1 512mb,nvidia nvs 300graphics cardpcie x 1 512mb,1172
expolow odor dry erase markerchisel tipbluedozen,expolow odor dry erase markerchisel tipbluedozen,1173
peppers bell green diced sliced,peppers bell green diced sliced,1174
vocational rehabilitation services,4 46750 tuition and fees 65000 asmc feecampus comp feeac transit fee,1175
sgd,sgd,1176
engine parts,engine parts,1177
traffic signals,traffic signals,1178
meat,meat,1179
toenail clippers,toenail clippers,1180
hamburger buns,hamburger bunswhite12 per pack,1181
maintenancerepair of underground storage tanks,contractor shall supply all necessary labormaterialssupplies supervisiontoolstransportationequipment and any otherservices needed to provide a certified ust operator and perform testing modificationinspection and repair services forthree usts tanks1 gasoline and 2 diesels ,1182
premier support assistance up to 120 hours,premier support assistance up to 120 hours,1183
128gb solid state drive,128 gb solid state drive,1184
vmware vsphere 5 ent plus 1 proc,vmware vsphere 5 ent plus 1 proc,1185
folder brkr1 3c fstnr ltr,folder brkr1 3c fstnr ltr,1186
toner cartridgecyanhp laserjet5550,toner cartridgecyanhp laserjet5550,1187
auditing and conduit bond financing services,contractor will provide conduit bond financing services and auditcpcfas operating and financial statementbooks and accounts,1188
warehouse alarm monitoring and maintenance,alarm monitoring and maintenance for the dmv supply warehouse,1189
independent science boardisbmemberadvisor,delta independent science boardisbmember to provide oversightof the scientific researchmonitoring and assessment programs thatsupport adaptive delta management,1190
32gb ddr42133 4x8gb1 cpu reg ram,32gb ddr42133 4x8gb1 cpu reg ram,1191
order #14ms0130jt,batching miscellaneous food contract vendor invoices for payment,1192
eraser,eraser,1193
ca mobile api gateway virtual appliance software,ca mobile api gateway virtual appliance software,1194
hp 72 grayink,hp 72 grayink,1195
amendment no 1,extend project completion date one year,1196
uniform boots,uniform boots,1197
sharp copier maintenance,sharp copier maintenance,1198
dental supplies,snap1005424 handle covers600ht4575 protector sheath710pnsj00 sanicloth plus510q77272,1199
expert witness,withheld 01some or all of the information in this contract is exemptfrom disclosureif you need informationcontact department,1200
servers hpdl560,four servers with supplies,1201
steel suggestion box #2kek1,steel suggestion box #2kek1,1202
guardrail end treatment parts,nose plate,1203
parolee day reporting centercalaveras county,calaveras countycontractoragrees to provide the californiadepartment of corrections and rehabilitationcdcr division ofrehabilitative programsdrpan array of services currently designedto increase the success of atrisk probationers to,1204
metalclad speedalloy kit enecon,metalclad speedalloy kit enecon,1205
vestsfish and gamekhakismall,vestsfish and gamekhakismall,1206
concrete pumping services at mcsp,concrete pumping services at mcsp,1207
00194 chevrolet express 2500 van,100194 chevrolet express 2500 van contract vehicle,1208
faucets lh quaturn cartridge,faucets,1209
tirederived product business assistance programindustrywide support activities,tbap is designed to increase demand for tirederived products tdp tostrengthen the profitability and business performance of waste tireprocessors and tdp producersinstallers and marketersand to increaseand diversify markets fortdpsthis contr,1210
drinking fountains,3ea830 smss02 df3eakit hb3eatemplate 10,1211
staples,staples,1212
fuel for equip 04s258,fuel for equip 04s258,1213
apc smart ups x 2000va rack tower,network maintenance,1214
connector liq tight 90 deg 11 2,connector liq tight 90 deg 11 2,1215
tape elec vinyl plastic 3m #33 11 2,tape elec vinyl plastic 3m #33 11 2,1216
support services,support assistance hoursmicrosoft premier support,1217
remove and install new fencing and gates,contractor shall provide all labortoolsmaterialsvehicles equipmentand incidentals necessary to remove and dispose of chainlink fences and replace with new wrought iron fences and gates ofvarious sizes contractor will reconnect and make operational existing motorized gate system,1218
breakfsast sausage links,breakfast sasage links,1219
sanitary napkins,x,1220
vehicles,please see po for special istructions,1221
emergency rental,rental of local goverment fire equipment to staff stae fire stationduring going fires,1222
amendment #4,this amendment increases total of contract by 10546300total contractnow 491946300 all other terms and conditions on the contract remain unchanged,1223
exam gloves,exam gloves,1224
ocr bond paper,ocr bond paper,1225
toners,c4129x,1226
ground beef patties,all beef ground patties,1227
gloss cover paper,gloss cover paper,1228
pest control services,pest control services,1229
rechargeable laternled,rechargeable laternled,1230
dispatch console,dispatch console for public safety radios,1231
monopoly,board games for recreation,1232
evidence impoundtowstorage services,amendment for evidence impoundtow and storage services for chp sandiego area officeamendment will increase dollar amount by10 00000new contract amount not to exceed 50 00000,1233
programmatic services,programmic services,1234
external defribrillator maintenance,external defribrillator maintenance,1235
200 watt smart pfc slim ac adapter 15,200 watt smart pfc slim ac adapter 15,1236
it supplies,cannon powershots x 170 is black xerox documates 3125scanner adobe acrobat xi pro,1237
5 year maintenance,maintenance,1238
toners,toners,1239
bbq vegetarian calzones,bbq vegetarian calzones,1240
vehicles,impala 4doorvarious colors,1241
laboratory services,contractor shall provide laboratory services of department of state hospitalscoalinga,1242
mens robes,mens robes,1243
gel mouse wristrest,gel mouse wristrest,1244
copiers,copiers,1245
hp power desktop 800g1 cmt,hp power desktop 800g1 cmt,1246
exando file folders,end tab file pocket file folders with tabs,1247
fishbreaded,fishbreaded,1248
altiris renewal,symantec gov clt management suite 71 x plat n rnwl bas 12n,1249
battery bank,battery bank,1250
kings county 2013 eeip data,county to provide 2013 eeip data to dpr,1251
fuel for equip 26r028,fuel for equip 26r028,1252
hp z620 workstation,desktop computer,1253
light truck,2015 ford f250 extended cab short wheelbase pickup truck,1254
socketstud cleaner3od,socketstud cleaner3od,1255
900mhz obbd omni 1 4 wave whip ant,900mhz obbd omni 1 4 wave whip ant,1256
dielectric grease 3 oz,dielectric grease 3 oz,1257
set in place fee,delivery furniture inside and set in place,1258
packing files and recycling metal shelve units,packing files in boxes and proper recycling of metal shelving units atthe san diego dwc location,1259
canned air,ccscanned air10oz6 pk,1260
phppspd ep,exotic pest detection trapping,1261
books and dvds,books and dvds,1262
fuel for equip 02s311,fuel for equip 02s311,1263
ophthalmic equipment,ophthalmic equipment,1264
small package delivery service,small package delivery service,1265
mobile sleeper trailers,sleeping quarters for incident personnel,1266
ballast capacitor10uf 280v,ballast capacitor10uf 280v,1267
eggs,eggs,1268
radio accessoryamplified speakermic,part # 589301507318,1269
dozer,dozer used on going fire,1270
computer printer,computer printer,1271
level,level,1272
beverage basesugar feeindividual serving ,beverage basesugar feeindividual serving ,1273
parts forshop,parts for shops,1274
toad db admindba suites and sw maintenance,software maintenance for toad for oracle xpert,1275
flash drives,32gb flash drives,1276
a7e33av#aba docking stations,a7e33av#aba docking stations,1277
postage meter lease and maintenance,postage meter lease and maintenance,1278
carrots,c,1279
water heater,water heater and installation,1280
miscellaneous medical supplies,epson saltsodiumrespirator masks,1281
am15 library and courts building renovation914 capitol mallsacramentosacr,am15 library and courts building renovation914 capitol mall sacramentosacr,1282
